Variable:,tas
Country:,Cyprus
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.74,12.65,14.44,15.74,17.68,22.81,25.90,25.93,23.21,20.08,15.06,12.41
1902,9.31,12.16,10.98,14.88,18.94,22.02,25.42,25.70,24.64,20.70,14.19,10.31
1903,8.44,8.63,10.53,15.07,19.24,21.57,24.26,25.22,22.16,18.91,13.97,11.69
1904,9.36,10.75,11.43,14.09,18.08,22.07,25.04,25.56,22.95,21.03,14.37,9.74
1905,7.63,7.43,10.42,15.22,19.42,22.25,26.18,26.40,24.31,21.14,16.90,10.18
1906,9.25,9.82,11.94,14.90,17.96,23.03,25.76,25.77,22.93,19.98,15.55,12.50
1907,8.60,9.30,9.40,14.28,18.99,22.47,25.90,25.87,22.37,19.79,13.81,11.25
1908,9.12,9.25,11.31,14.63,20.10,23.07,25.16,25.66,22.82,19.30,13.70,9.50
1909,8.89,9.23,13.17,13.63,21.53,23.29,26.69,26.77,24.18,20.14,16.24,12.91
1910,9.08,10.58,9.20,15.72,18.94,22.35,25.80,26.37,23.40,18.86,14.80,10.38
1911,8.23,7.18,10.00,14.42,18.86,22.55,25.55,26.10,23.21,20.30,15.81,11.27
1912,8.43,10.80,12.28,14.72,17.73,22.97,25.03,25.82,23.25,19.80,15.30,10.84
1913,9.30,8.78,11.82,14.78,18.42,22.17,25.55,25.79,24.20,20.52,14.80,10.57
1914,9.34,10.18,13.17,13.72,19.42,22.91,25.95,26.43,23.56,19.30,14.74,11.71
1915,11.82,10.86,12.53,15.03,18.62,23.63,26.65,26.41,23.60,20.80,15.40,13.01
1916,9.20,10.60,13.53,15.68,20.66,25.39,27.50,25.87,23.65,19.79,17.29,13.31
1917,11.18,9.85,13.37,16.16,18.28,22.39,25.86,26.66,23.70,20.31,17.26,10.65
1918,9.60,9.60,11.53,14.76,19.00,22.43,25.93,25.87,24.90,22.79,16.81,11.66
1919,11.62,11.49,13.61,15.37,17.34,21.85,25.80,25.37,24.61,22.00,17.21,11.36
1920,10.20,7.52,11.94,16.02,19.54,23.64,26.45,27.07,23.80,19.31,14.24,10.22
1921,9.86,8.58,10.80,14.50,19.28,22.05,26.20,27.25,22.90,19.11,15.28,10.55
1922,9.60,9.52,13.20,15.56,19.30,22.90,26.95,26.87,24.60,21.55,16.01,10.66
1923,10.04,10.20,12.38,14.96,20.00,24.42,25.87,25.50,24.79,20.74,17.90,13.01
1924,9.05,10.18,12.41,16.46,19.08,24.27,26.69,26.53,25.03,18.94,14.90,10.95
1925,7.73,10.53,14.16,14.56,19.65,22.39,26.25,26.49,24.80,21.05,17.24,12.94
1926,10.34,10.30,11.44,16.68,20.91,24.79,26.14,25.00,22.63,21.00,17.07,12.51
1927,10.64,7.26,13.62,15.08,20.79,24.03,26.93,26.77,25.20,22.49,17.08,12.01
